common name,scientific name,status,which country
Stork Yellow-billed,Mycteria ibis,Resident,Sierra Leone not Ghana
Ibis Olive,Bostrychia olivacea,Resident,Sierra Leone not Ghana
Dove Lemon,Columba larvata,Resident,Sierra Leone not Ghana
Swift African Black,Apus barbatus,Resident,Sierra Leone not Ghana
Honeyguide Lyre-tailed,Melichneutes robustus,Resident,Sierra Leone not Ghana
Parrot Timneh,Psittacus timneh,Resident,Sierra Leone not Ghana
Wattle-eye Yellow-bellied,Platysteira concreta,Resident,Sierra Leone not Ghana
Boubou Turati`s,Laniarius turatii,Resident,Sierra Leone not Ghana
Grassbird Fan-tailed,Catriscus brevirostris,Resident,Sierra Leone not Ghana
Cisticola Chattering,Cisticola anonymus,Resident,Sierra Leone not Ghana
Prinia Sierra Leone,Schistolais leontica,Resident,Sierra Leone not Ghana
Starling Emerald,Lamprotornis iris,Resident,Sierra Leone not Ghana
Robin-Chat Grey-winged,Sheppardia polioptera,Resident,Sierra Leone not Ghana
Stonechat African,Saxicola torquatus,Resident,Sierra Leone not Ghana
Malimbe Gola,Malimbus ballmanni,Resident,Sierra Leone not Ghana
Seedcracker Crimson,Pyrenestes sanguineus,Resident,Sierra Leone not Ghana
Twinspot Dybowski`s,Euschistospiza dybowskii,Resident,Sierra Leone not Ghana
Wagtail Mountain,Motacilla clara,Resident,Sierra Leone not Ghana
Flamingo Greater,Phoenicopterus roseus,Migrant (Non-Breeding),Sierra Leone not Ghana
Crane Black Crowned,Balearica pavonina,Migrant (Non-Breeding),Sierra Leone not Ghana
